,,open,high,low,close,volume,value,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_60,EMA_60,SMA_120,EMA_120,SMA_50,SMA_200,Signal,RSI_7,RSI_14,RSI_21,STOCHk_14_3_3,STOCHd_14_3_3,MACD,Signal_Line,MACD_Histogram,Middle_Band,Upper_Band,Lower_Band
daily,2023-02-16 09:00:00,31183000.0,32458000.0,30400000.0,30451000.0,12781.37026202,403862542932.8076,,,,,,,,,,,,,0,,,,,,0.0,0.0,0.0,,,
daily,2023-02-17 09:00:00,30466000.0,32090000.0,30278000.0,31641000.0,9141.33783666,284422010354.79816,,,,,,,,,,,,,0,,,,,,94928.77492877468,18985.75498575494,75943.01994301975,,,
daily,2023-02-18 09:00:00,31641000.0,32014000.0,31498000.0,31789000.0,5267.64033206,167371218399.19144,,,,,,,,,,,,,0,,,,,,180027.62964586169,51194.12991777629,128833.49972808539,,,
daily,2023-02-19 09:00:00,31789000.0,32370000.0,31400000.0,31435000.0,8172.91625373,260367151132.84616,,,,,,,,,,,,,0,,,,,,216409.60835986212,84237.22560619347,132172.38275366864,,,
daily,2023-02-20 09:00:00,31434000.0,32148000.0,31000000.0,31883000.0,8070.98678492,255795954183.13324,31439800.0,31439800.0,,,,,,,,,,,0,,,,,,278185.6930120364,123026.91908736207,155158.77392467431,,,
daily,2023-02-21 09:00:00,31883000.0,32600000.0,31510000.0,31736000.0,9416.92852949,301631314333.7034,31696800.0,31538533.333333336,,,,,,,,,,,0,,,,,,311689.0562806986,160759.3465260294,150929.70975466922,,,
daily,2023-02-22 09:00:00,31751000.0,31850000.0,30900000.0,31619000.0,7731.25766663,242632365969.1632,31692400.0,31565355.55555556,,,,,,,,,,,0,,,,,,325052.7846959643,193618.0341600164,131434.7505359479,,,
daily,2023-02-23 09:00:00,31638000.0,31999000.0,30960000.0,31398000.0,6836.96402152,215198235910.08054,31614200.0,31509570.370370377,,,,,,,,,,,0,57.00502666069512,,,,,314189.00741794705,217732.22881160252,96456.77860634454,,,
daily,2023-02-24 09:00:00,31400000.0,31485000.0,30560000.0,30877000.0,6775.08622994,210550547313.70023,31502600.0,31298713.580246918,,,,,,,,,,,0,40.10868823946134,,,,,260535.7459332496,226292.93223593195,34242.813697317644,,,
daily,2023-02-25 09:00:00,30868000.0,31000000.0,30291000.0,30959000.0,4719.68489555,144553236870.77463,31317800.0,31185475.720164612,31378800.0,31378800.0,,,,,,,,,0,43.200053294645606,,,,,222071.95706708357,225448.73720216227,-3376.780135078705,,,
daily,2023-02-26 09:00:00,30959000.0,31384000.0,30710000.0,31279000.0,3065.82030173,94938741700.01143,31226400.0,31216650.480109744,31461600.0,31360654.545454543,,,,,,,,,0,54.00817097708861,,,,,214932.84092330933,223345.5579463917,-8412.717023082369,,,
daily,2023-02-27 09:00:00,31279000.0,31654000.0,30890000.0,31255000.0,4718.97425586,147494109455.84756,31153600.0,31229433.653406497,31423000.0,31341444.62809917,,,,,,,,,0,53.123670114548545,,,,,204975.60929017514,219671.5682151484,-14695.958924973267,,,
daily,2023-02-28 09:00:00,31255000.0,31323000.0,30904000.0,31024000.0,3593.40757255,111816782275.1296,31078800.0,31160955.768937666,31346500.0,31283727.42299023,,,,,,,,,0,44.871680809895594,,,,,176411.10462842882,211019.47549780452,-34608.37086937571,,,
daily,2023-03-01 09:00:00,31024000.0,31600000.0,30805000.0,31106000.0,4532.68487609,141609641287.4045,31124600.0,31142637.179291777,31313600.0,31251413.34608291,,,,,,,,,0,48.203775625548026,,,,,158562.43454155326,200528.06730655427,-41965.632765001006,,,
daily,2023-03-02 09:00:00,31106000.0,31284000.0,30800000.0,31109000.0,4579.43771609,142038558936.3464,31154600.0,31131424.78619452,31236200.0,31225520.01043147,,,,,,,,,0,48.33705898079408,52.91368859929853,,,,143010.7706895359,189024.6079831506,-46013.83729361472,,,
daily,2023-03-03 09:00:00,31109000.0,31135000.0,29508000.0,29709000.0,7298.81785293,218343539031.64386,30840600.0,30657283.19079635,31033500.0,30949789.099443927,,,,,,,,,0,20.13223549862635,30.694643533844772,,25.982558418101004,,17515.754615280777,154722.83730957663,-137207.08269429585,,,
daily,2023-03-04 09:00:00,29710000.0,29907000.0,29638000.0,29838000.0,2222.29120474,66213470510.92855,30557200.0,30384188.793864235,30855400.0,30747645.62681776,,,,,,,,,0,24.84636612402181,33.46694942102551,,17.65382142574597,,-70715.56287440658,109635.15727278,-180350.72014718657,,,
daily,2023-03-05 09:00:00,29837000.0,30097000.0,29650000.0,29982000.0,2189.45390953,65484864544.84753,30348800.0,30250125.86257616,30713800.0,30608437.33103271,,,,,,,,,0,30.210960343252165,36.51956224069232,,10.834411384217335,18.156930409354768,-127549.60862417147,62198.20409338971,-189747.81271756117,,,
daily,2023-03-06 09:00:00,29982000.0,30066000.0,29638000.0,29769000.0,2405.78623199,71803338819.88358,30081400.0,30089750.575050775,30603000.0,30455812.36175403,,,,,,,,,0,26.897629517840596,34.032269012847784,,11.481241914618371,13.323158241527224,-187615.6033440791,12235.44260589595,-199851.04594997506,,,
